,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Setosa = 0,,Learning Rate,,0.1,,,,,,,,,ACCURACY after iterasi 5,,,,
,,,,,,,Versicolor = 1,,Bobot bias,,,,,dot product,Sigmoid,Prediksi,error,Sum Square Error,,,,,,
EPOCH,No,X0,X1,X2,X3,X4,TARGET,,bias,teta1,teta2,teta 3,teta4,z,g(z),,,,,dbias,dteta1,dteta2,dteta3,dteta4
Iterasi 1,1,1,5.1,3.5,1.4,0.2,0,,0.5,0.5,0.5,0.5,0.5,5.6,0.9963157601,1,0.9963157601,0.9926450938,,0.007314285321,0.03730285514,0.02559999862,0.01023999945,0.001462857064
,2,1,4.9,3,1.4,0.2,0,,0.4992685715,0.4962697145,0.4974400001,0.4989760001,0.4998537143,5.221847316,0.9946316257,1,0.9946316257,0.9892920708,,0.01062178028,0.05204672337,0.03186534084,0.01487049239,0.002124356056
,3,1,4.7,3.2,1.3,0.2,0,,0.4982063934,0.4910650421,0.4942534661,0.4974889508,0.4996412787,5.134487075,0.9941444179,1,0.9941444179,0.9883231236,,0.01157441438,0.05439974758,0.03703812601,0.01504673869,0.002314882876
,4,1,4.6,3.1,1.5,0.2,0,,0.497048952,0.4856250674,0.4905496535,0.4959842769,0.4994097904,5.095486561,0.993912953,1,0.993912953,0.9878629582,,0.01202633649,0.05532114786,0.03728164312,0.01803950474,0.002405267298
,5,1,5,3.6,1.4,0.2,0,,0.4958463184,0.4800929526,0.4868214891,0.4941803265,0.4991692637,5.440554752,0.9956816524,1,0.9956816524,0.9913819529,,0.008562263748,0.04281131874,0.03082414949,0.01198716925,0.00171245275
,6,1,5.4,3.9,1.7,0.2,0,,0.494990092,0.4758118207,0.4837390742,0.4929816095,0.4989980184,5.888824653,0.9972374222,1,0.9972374222,0.9944824763,,0.005494670399,0.02967122016,0.02142921456,0.009340939679,0.00109893408
,7,1,4.6,3.4,1.4,0.2,0,,0.4944406249,0.4728446987,0.4815961527,0.4920475156,0.498888125,5.095597305,0.993913623,1,0.993913623,0.9878642899,,0.01202502904,0.05531513358,0.04088509873,0.01683504065,0.002405005808
,8,1,5,3.4,1.5,0.2,0,,0.493238122,0.4673131854,0.4775076429,0.4903640115,0.4986476244,5.288605577,0.9949765668,1,0.9949765668,0.9899783684,,0.009946180455,0.04973090227,0.03381701355,0.01491927068,0.001989236091
,9,1,4.4,2.9,1.4,0.2,0,,0.492243504,0.4623400951,0.4741259415,0.4888720844,0.4984487008,4.685615811,0.9908573093,1,0.9908573093,0.9817982075,,0.01795255462,0.07899124033,0.0520624084,0.02513357647,0.003590510924
,10,1,4.9,3.1,1.5,0.2,0,,0.4904482485,0.4544409711,0.4689197007,0.4863587268,0.4980896497,5.000016099,0.9933072561,1,0.9933072561,0.986659305,,0.01320691608,0.06471388882,0.04094143986,0.01981037413,0.002641383217
,11,1,5.4,3.7,1.5,0.2,0,,0.4891275569,0.4479695822,0.4648255567,0.4843776894,0.4978255114,5.454149497,0.9957397136,1,0.9957397136,0.9914975772,,0.008448127344,0.04561988766,0.03125807117,0.01267219102,0.001689625469
