Epoch,Training_Accuracy,Training_Loss,Validation_Accuracy,Validation_Loss
1,50.0,0.683597,50.0,0.635145
2,50.0,0.637008,83.33,0.595197
3,72.86,0.598306,100.0,0.559021
4,98.57,0.56328,100.0,0.526106
5,100.0,0.531358,100.0,0.496098
6,100.0,0.502225,100.0,0.468706
7,100.0,0.475598,100.0,0.443663
8,100.0,0.451226,100.0,0.42073
9,100.0,0.428877,100.0,0.39969
10,100.0,0.408348,100.0,0.380352
11,100.0,0.389454,100.0,0.362544
12,100.0,0.372032,100.0,0.346113
13,100.0,0.355936,100.0,0.330924
14,100.0,0.341036,100.0,0.316855
15,100.0,0.327218,100.0,0.3038
16,100.0,0.314379,100.0,0.291664
17,100.0,0.302426,100.0,0.28036
18,100.0,0.29128,100.0,0.269815
19,100.0,0.280867,100.0,0.259959
20,100.0,0.271123,100.0,0.250733
21,100.0,0.26199,100.0,0.242082
22,100.0,0.253415,100.0,0.233959
23,100.0,0.245353,100.0,0.226319
24,100.0,0.237761,100.0,0.219124
25,100.0,0.230601,100.0,0.212337
26,100.0,0.223841,100.0,0.205928
27,100.0,0.217448,100.0,0.199867
28,100.0,0.211396,100.0,0.194128
29,100.0,0.205658,100.0,0.188688
30,100.0,0.200213,100.0,0.183526
31,100.0,0.195039,100.0,0.17862
32,100.0,0.190117,100.0,0.173954
33,100.0,0.18543,100.0,0.169512
34,100.0,0.180963,100.0,0.165277
35,100.0,0.1767,100.0,0.161238
36,100.0,0.172629,100.0,0.15738
37,100.0,0.168737,100.0,0.153693
38,100.0,0.165014,100.0,0.150166
39,100.0,0.161448,100.0,0.146789
40,100.0,0.15803,100.0,0.143553
41,100.0,0.154752,100.0,0.14045
42,100.0,0.151605,100.0,0.137472
43,100.0,0.148581,100.0,0.134612
44,100.0,0.145675,100.0,0.131863
45,100.0,0.142879,100.0,0.129219
46,100.0,0.140187,100.0,0.126675
47,100.0,0.137594,100.0,0.124225
48,100.0,0.135095,100.0,0.121863
49,100.0,0.132684,100.0,0.119587
50,100.0,0.130357,100.0,0.11739
51,100.0,0.12811,100.0,0.11527
52,100.0,0.125939,100.0,0.113222
53,100.0,0.12384,100.0,0.111243
54,100.0,0.12181,100.0,0.109329
55,100.0,0.119846,100.0,0.107478
56,100.0,0.117944,100.0,0.105686
57,100.0,0.116101,100.0,0.103951
58,100.0,0.114315,100.0,0.10227
59,100.0,0.112583,100.0,0.10064
60,100.0,0.110904,100.0,0.09906
61,100.0,0.109274,100.0,0.097528
62,100.0,0.107691,100.0,0.09604
63,100.0,0.106154,100.0,0.094596
64,100.0,0.10466,100.0,0.093193
65,100.0,0.103208,100.0,0.091831
66,100.0,0.101796,100.0,0.090506
67,100.0,0.100423,100.0,0.089217
68,100.0,0.099086,100.0,0.087964
69,100.0,0.097785,100.0,0.086745
70,100.0,0.096518,100.0,0.085558
71,100.0,0.095284,100.0,0.084402
72,100.0,0.094081,100.0,0.083276
73,100.0,0.092909,100.0,0.082179
74,100.0,0.091765,100.0,0.08111
75,100.0,0.09065,100.0,0.080067
76,100.0,0.089562,100.0,0.07905
77,100.0,0.088501,100.0,0.078058
78,100.0,0.087464,100.0,0.07709
79,100.0,0.086452,100.0,0.076146
80,100.0,0.085463,100.0,0.075223
81,100.0,0.084497,100.0,0.074322
82,100.0,0.083553,100.0,0.073442
83,100.0,0.08263,100.0,0.072582
84,100.0,0.081728,100.0,0.071741
85,100.0,0.080845,100.0,0.07092
86,100.0,0.079982,100.0,0.070116
87,100.0,0.079137,100.0,0.06933
88,100.0,0.078311,100.0,0.068561
89,100.0,0.077501,100.0,0.067809
90,100.0,0.076709,100.0,0.067072
91,100.0,0.075933,100.0,0.066351
92,100.0,0.075172,100.0,0.065645
93,100.0,0.074428,100.0,0.064954
94,100.0,0.073698,100.0,0.064277
95,100.0,0.072982,100.0,0.063613
96,100.0,0.072281,100.0,0.062963
97,100.0,0.071593,100.0,0.062325
98,100.0,0.070918,100.0,0.0617
99,100.0,0.070257,100.0,0.061088
100,100.0,0.069607,100.0,0.060487
