Epoch,Training_Accuracy,Training_Loss,Validation_Accuracy,Validation_Loss
1,100.0,0.68041,100.0,0.613324
2,100.0,0.612336,100.0,0.556177
3,100.0,0.554278,100.0,0.507248
4,100.0,0.50462,100.0,0.465177
5,100.0,0.461969,100.0,0.428819
6,100.0,0.425149,100.0,0.397226
7,100.0,0.393187,100.0,0.369615
8,100.0,0.365282,100.0,0.345347
9,100.0,0.340778,100.0,0.323897
10,100.0,0.31914,100.0,0.304836
11,100.0,0.29993,100.0,0.287812
12,100.0,0.282786,100.0,0.272533
13,100.0,0.267411,100.0,0.258757
14,100.0,0.253559,100.0,0.246282
15,100.0,0.241026,100.0,0.234942
16,100.0,0.229639,100.0,0.224592
17,100.0,0.219255,100.0,0.215114
18,100.0,0.20975,100.0,0.206405
19,100.0,0.201022,100.0,0.198378
20,100.0,0.192982,100.0,0.190957
21,100.0,0.185554,100.0,0.184078
22,100.0,0.178672,100.0,0.177686
23,100.0,0.17228,100.0,0.171731
24,100.0,0.166328,100.0,0.16617
25,100.0,0.160774,100.0,0.160967
26,100.0,0.155578,100.0,0.156088
27,100.0,0.150709,100.0,0.151505
28,100.0,0.146137,100.0,0.147191
29,100.0,0.141836,100.0,0.143124
30,100.0,0.137783,100.0,0.139283
31,100.0,0.133957,100.0,0.135651
32,100.0,0.13034,100.0,0.13221
33,100.0,0.126916,100.0,0.128947
34,100.0,0.123669,100.0,0.125847
35,100.0,0.120586,100.0,0.122899
36,100.0,0.117656,100.0,0.120092
37,100.0,0.114867,100.0,0.117416
38,100.0,0.112209,100.0,0.114863
39,100.0,0.109674,100.0,0.112423
40,100.0,0.107253,100.0,0.11009
41,100.0,0.104938,100.0,0.107857
42,100.0,0.102723,100.0,0.105717
43,100.0,0.100602,100.0,0.103665
44,100.0,0.098568,100.0,0.101695
45,100.0,0.096617,100.0,0.099803
46,100.0,0.094743,100.0,0.097984
47,100.0,0.092943,100.0,0.096234
48,100.0,0.091211,100.0,0.094548
49,100.0,0.089544,100.0,0.092924
50,100.0,0.087938,100.0,0.091358
51,100.0,0.08639,100.0,0.089848
52,100.0,0.084898,100.0,0.088389
53,100.0,0.083457,100.0,0.08698
54,100.0,0.082066,100.0,0.085618
55,100.0,0.080721,100.0,0.0843
56,100.0,0.079422,100.0,0.083025
57,100.0,0.078164,100.0,0.081791
58,100.0,0.076947,100.0,0.080595
59,100.0,0.075768,100.0,0.079436
60,100.0,0.074626,100.0,0.078312
61,100.0,0.073519,100.0,0.077221
62,100.0,0.072445,100.0,0.076162
63,100.0,0.071403,100.0,0.075134
64,100.0,0.070392,100.0,0.074135
65,100.0,0.069409,100.0,0.073165
66,100.0,0.068455,100.0,0.072221
67,100.0,0.067527,100.0,0.071302
68,100.0,0.066625,100.0,0.070409
69,100.0,0.065747,100.0,0.069539
70,100.0,0.064893,100.0,0.068692
71,100.0,0.064062,100.0,0.067867
72,100.0,0.063252,100.0,0.067063
73,100.0,0.062464,100.0,0.066279
74,100.0,0.061695,100.0,0.065514
75,100.0,0.060946,100.0,0.064769
76,100.0,0.060215,100.0,0.064041
77,100.0,0.059502,100.0,0.06333
78,100.0,0.058806,100.0,0.062637
79,100.0,0.058127,100.0,0.061959
80,100.0,0.057464,100.0,0.061298
81,100.0,0.056817,100.0,0.060651
82,100.0,0.056184,100.0,0.060019
83,100.0,0.055566,100.0,0.0594
84,100.0,0.054962,100.0,0.058796
85,100.0,0.054372,100.0,0.058204
86,100.0,0.053794,100.0,0.057626
87,100.0,0.053229,100.0,0.057059
88,100.0,0.052676,100.0,0.056504
89,100.0,0.052135,100.0,0.055961
90,100.0,0.051605,100.0,0.05543
91,100.0,0.051086,100.0,0.054908
92,100.0,0.050578,100.0,0.054398
93,100.0,0.050081,100.0,0.053897
94,100.0,0.049593,100.0,0.053407
95,100.0,0.049115,100.0,0.052926
96,100.0,0.048647,100.0,0.052454
97,100.0,0.048188,100.0,0.051991
98,100.0,0.047738,100.0,0.051537
99,100.0,0.047296,100.0,0.051092
100,100.0,0.046863,100.0,0.050655
